mrr,mop
0.9037902421054597,0.07361514108060799
0.9022611877425543,0.09781841818365522
0.89930550815644,0.1031999154232743
0.8991974926022,0.1897453042806157
0.8984281299161128,0.1897684807149048
0.8971509333013875,0.1908705434986429
0.8960446385912226,0.2003349718861766
0.8960133836143155,0.3479868177245788
0.89015213564903,0.3519404480899398
0.8829509413689328,0.3583698805717314
0.8780191707711241,0.5303146068558826
0.8690237663374664,0.724542157202918
0.8667396613048785,0.7360178519133598
0.8664243968591794,0.7363447781997547
0.5280679465462074,0.7444318237155675
